epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,470.293,0.44083,0.57958,0.43178,0.85172,0.96801,0.86621,0.88697,0.8175,0.95013,0.84523,0.88396,0.69787,0.36648,0.47572,0.3161,0.82723,0.000226267,0.000226267,0.000226267
71,476.381,0.43195,0.59213,0.46402,0.84995,0.972,0.86894,0.88946,0.81769,0.9544,0.84845,0.90563,0.71488,0.38137,0.46886,0.31835,0.82868,0.000219198,0.000219198,0.000219198
72,482.724,0.4111,0.55223,0.43441,0.84897,0.91115,0.98124,0.98302,0.85193,0.89102,0.95952,0.96094,0.77102,0.36694,0.50843,0.31002,0.82254,0.000212129,0.000212129,0.000212129
73,490.174,0.40974,0.52933,0.42095,0.8582,0.94975,0.94833,0.98293,0.85605,0.93935,0.94008,0.96109,0.76595,0.35146,0.51256,0.31135,0.82283,0.000205061,0.000205061,0.000205061
74,496.599,0.44086,0.64219,0.44385,0.87768,0.9503,0.9634,0.98443,0.85939,0.94065,0.94644,0.96287,0.76094,0.34478,0.49646,0.30423,0.82349,0.000197992,0.000197992,0.000197992
75,502.917,0.43877,0.58571,0.47599,0.85676,0.96248,0.96915,0.9841,0.85912,0.94977,0.94652,0.96405,0.75311,0.3423,0.47949,0.29284,0.82464,0.000190924,0.000190924,0.000190924
76,509.023,0.41169,0.51456,0.41226,0.8764,0.97183,0.98143,0.98552,0.87775,0.95005,0.95971,0.9611,0.78472,0.34148,0.46669,0.28326,0.8279,0.000183855,0.000183855,0.000183855
77,516.108,0.42162,0.664,0.41845,0.85281,0.96721,0.98001,0.98619,0.87181,0.94533,0.95829,0.96064,0.77133,0.34449,0.48734,0.28344,0.82863,0.000176786,0.000176786,0.000176786
78,522.323,0.40016,0.54426,0.4066,0.84748,0.94908,0.98473,0.98659,0.87958,0.92488,0.95967,0.95643,0.7709,0.334,0.49753,0.27785,0.82818,0.000169718,0.000169718,0.000169718
79,528.448,0.39402,0.54844,0.38763,0.84248,0.93131,0.98473,0.98713,0.8742,0.90769,0.95967,0.95786,0.76318,0.3381,0.50641,0.27812,0.82936,0.000162649,0.000162649,0.000162649
80,534.639,0.40406,0.56868,0.43731,0.85988,0.92924,0.98473,0.98785,0.87721,0.90343,0.95634,0.95653,0.7766,0.32447,0.46096,0.26788,0.82252,0.000155581,0.000155581,0.000155581
81,540.795,0.36978,0.50746,0.36369,0.84022,0.93848,0.9845,0.98841,0.88522,0.91563,0.95944,0.96088,0.78039,0.31399,0.45357,0.26203,0.81836,0.000148512,0.000148512,0.000148512
82,548.086,0.39626,0.58639,0.41108,0.85869,0.94312,0.98079,0.98704,0.88106,0.91982,0.95573,0.96146,0.7834,0.31725,0.4512,0.26092,0.81651,0.000141443,0.000141443,0.000141443
83,554.17,0.38517,0.54382,0.39598,0.84148,0.94828,0.98153,0.98634,0.87719,0.92505,0.95647,0.96206,0.7728,0.31549,0.45266,0.26188,0.81581,0.000134375,0.000134375,0.000134375
84,560.404,0.3694,0.54307,0.39151,0.85941,0.94325,0.98079,0.98634,0.87179,0.92042,0.95573,0.9611,0.76882,0.30445,0.45883,0.25605,0.81388,0.000127306,0.000127306,0.000127306
85,566.521,0.34828,0.51311,0.33689,0.83166,0.93546,0.98079,0.98601,0.87963,0.90998,0.9524,0.95805,0.77996,0.29788,0.4542,0.25693,0.81233,0.000120238,0.000120238,0.000120238
86,572.54,0.37465,0.52481,0.37429,0.84409,0.92371,0.98497,0.98613,0.88238,0.90349,0.96191,0.96167,0.78457,0.29401,0.45446,0.25748,0.81131,0.000113169,0.000113169,0.000113169
87,579.813,0.40481,0.57765,0.40044,0.86336,0.9106,0.98415,0.98507,0.88269,0.89116,0.96235,0.96119,0.78494,0.29038,0.4403,0.25703,0.81153,0.0001061,0.0001061,0.0001061
88,587.049,0.40048,0.5717,0.40518,0.87202,0.8642,0.99101,0.98632,0.88897,0.84911,0.97262,0.96711,0.77583,0.29379,0.42326,0.26331,0.81226,9.90318e-05,9.90318e-05,9.90318e-05
89,593.145,0.38802,0.56255,0.40629,0.85065,0.85949,0.99113,0.98644,0.89109,0.84697,0.97607,0.97068,0.78201,0.29202,0.42482,0.2623,0.81136,9.19632e-05,9.19632e-05,9.19632e-05
90,600.198,0.35943,0.50077,0.3676,0.83365,0.85971,0.9919,0.98645,0.89618,0.84716,0.97685,0.97007,0.78241,0.28962,0.4283,0.26236,0.80976,8.48946e-05,8.48946e-05,8.48946e-05
91,608.125,0.35248,0.46082,0.30873,0.83109,0.88293,0.9919,0.98795,0.89656,0.86947,0.97685,0.97184,0.78588,0.29118,0.42567,0.25985,0.80911,7.7826e-05,7.7826e-05,7.7826e-05
92,615.344,0.33289,0.46791,0.28127,0.8266,0.93373,0.98603,0.98825,0.90279,0.91893,0.97097,0.9723,0.78475,0.28365,0.41625,0.25509,0.80705,7.07574e-05,7.07574e-05,7.07574e-05
93,622.521,0.32073,0.42527,0.28956,0.82675,0.93735,0.9855,0.98808,0.90485,0.92228,0.97044,0.97261,0.78061,0.27792,0.41404,0.2493,0.80506,6.36888e-05,6.36888e-05,6.36888e-05
94,628.595,0.30078,0.4113,0.27357,0.79845,0.90956,0.9813,0.98784,0.91055,0.89244,0.96291,0.96863,0.78049,0.27397,0.41417,0.24521,0.8037,5.66202e-05,5.66202e-05,5.66202e-05
95,635.787,0.35268,0.59824,0.31816,0.86112,0.89234,0.98463,0.98779,0.90544,0.88182,0.97291,0.97422,0.77859,0.27262,0.41585,0.24162,0.80332,4.95516e-05,4.95516e-05,4.95516e-05
96,641.987,0.32276,0.44485,0.28955,0.83462,0.92114,0.98858,0.98827,0.90677,0.90431,0.97019,0.96813,0.77975,0.26749,0.42425,0.23787,0.80267,4.2483e-05,4.2483e-05,4.2483e-05
97,648.172,0.37923,0.42441,0.31652,0.85485,0.92025,0.98463,0.98832,0.91092,0.90348,0.96624,0.96789,0.78337,0.26395,0.42552,0.23326,0.80191,3.54144e-05,3.54144e-05,3.54144e-05
98,655.276,0.32584,0.43571,0.28904,0.80635,0.92285,0.98864,0.98857,0.91191,0.9061,0.97025,0.96806,0.78774,0.26013,0.42411,0.23327,0.80156,2.83458e-05,2.83458e-05,2.83458e-05
99,662.36,0.29606,0.4143,0.27164,0.83511,0.9215,0.98605,0.98847,0.91276,0.90473,0.96766,0.9679,0.79011,0.25821,0.42295,0.22993,0.80102,2.12772e-05,2.12772e-05,2.12772e-05
100,669.485,0.32381,0.44903,0.26841,0.82504,0.92104,0.99027,0.98865,0.91464,0.9103,0.97854,0.97505,0.79178,0.25554,0.41905,0.22863,0.80056,1.42086e-05,1.42086e-05,1.42086e-05
